Engleza,Romana
"Obviously, such arguments are preposterous.","În mod evident, astfel de argumente sunt absurde."
Let's have a few drinks tonight.,Hai să dăm pe gât câteva băuturi diseară.
This old building isn't worth fixing up. It would be better to tear it down.,Această clădire veche nu merită să fie reparată. Ar fi mai bine să fie demolată.
Sometimes you're so unimaginative.,Uneori ești atât de lipsit de imaginație.
It's a one-time offer.,Este o ofertă unică.
Is that understood?,S-a înțeles?
What do your parents want for Christmas?,Ce vor părinții tăi de Crăciun?
Tom turned down the job offer.,Tom a refuzat locul de muncă.
Please add up the bill.,Te rog să calculezi totalul facturii.
He is the tallest boy.,Este cel mai înalt băiat.
I hope that I can do it.,Sper să pot face asta.
It was extremely grueling.,A fost extrem de istovitor.
There are usually taxis in front of the train station.,De obicei sunt taxiuri în fața gării.
Tom has a lot on his mind.,Tom are multe pe cap.
I thought it was true.,Credeam că e adevărat.
Why are you here?,De ce ești aici?
I was in the mountains.,Am fost în munți.
Which is correct?,Care e corect?
Tom has a new pair of sunglasses.,Tom are o nouă pereche de ochelari.
I need your opinions.,Am nevoie de opiniile tale.
Will I see you when I get back?,Ne vedem când mă întorc?
The students are back.,Studenții au revenit.
I feel sick whenever I see blood.,Mi se face rău de fiecare dată când văd sânge.
My father does not like music.,Tatălui meu nu-i place muzica.
Tom is three years younger than Mary.,Tom este cu trei ani mai tânăr decât Mary.
She looked at him with a smile on her face.,Ea l-a privit zâmbind.
I didn't tell Tom anything about this.,Nu i-am spus lui Tom nimic despre asta.
This is the pen which the famous novelist wrote with.,Acesta este stiloul cu care a scris faimosul romancier.
I can still remember the time when Tom fell out of the tree.,Încă îmi pot aminti momentul când Tom a căzut din copac.
"To edit a sentence, click on the pencil icon.","Pentru a edita o propoziție, dați clic pe pictograma creion."
We're having a great time.,Noi ne distrăm de minune.
He had his secretary type the report.,El a pus-o pe secretară să tasteze raportul.
"Since her father's death, she has gone through a lot of hardships.","De la moartea tatălui ei, ea a trecut prin multe greutăți."
Coffee prices have jumped almost 50% in six months.,Prețul cafelei s-a mărit cu aproape 50% în șase luni.
Tom is ambitious and optimistic.,Tom este ambițios și optimist.
Tom said I don't have to do that today.,Tom a spus că nu trebuie să fac asta astăzi.
I need help.,Am nevoie de ajutor!
I didn't have to open the letter. I knew exactly what it said.,Nu a trebuit să deschid scrisoarea. Am știut exact ce zicea.
You need protection.,Ai nevoie de protecţie.
I went to the zoo yesterday.,M-am dus ieri la grădina zoologică.
Four hundred fifty black pilots were in the group.,Patru sute cincizeci de piloți negri erau în grup.
Tom's comments were inappropriate.,Comentariile lui Tom au fost inadecvate.
I don't think these ink stains will come off.,Nu cred că aceste pete de cerneală vor ieși.
"You really like comic books, don't you?","Ţie chiar îţi plac cărţile de benzi desenate, nu-i aşa?"
Tom forgot to tell Mary that John had called.,Tom a uitat să-i spună lui Mary că John a sunat.
I'm not a teacher.,Nu sunt profesoară.
Keep your hands off my daughter!,Nu pune mâinele pe fiica mea!
I didn't know where to begin.,Nu știam de unde să încep.
She doesn't know how to drive a car.,Ea nu ştie cum să conducă o maşina.
Prices vary by location.,Prețurile variază în funcție de locație.
They are always at each other's throats.,Ei întotdeauna se ceartă.
There's no doubt that Tom used to live in Boston.,Nu e nicio îndoială că Tom obișnuia să locuiască în Boston.
You've misspelled my name.,Ai scris greșit numele meu.
We are very similar.,Semănăm foarte mult.
"I will teach you to program, but not today.","Te voi învăța să programezi, doar că astăzi nu."
I must go to the toilet.,Am nevoie la toaletă.
Tom should've known better.,Tom ar fi trebuit să știe mai bine.
I'll call Tom tomorrow.,Îl voi suna pe Tom mâine.
Lord Ashburton had an American wife.,Lordul Ashburton avea o soţie americană.
Why are we not allowed to do that?,De ce nu avem voie să facem asta?
Tom doesn't like the way Mary laughs.,Lui Tom nu-i place felul în care râde Mary.
The rebels sabotaged the railroad.,Rebelii au sabotat calea ferată.
My primary concern is your safety.,Preocuparea mea principală este siguranța dumneavoastră.
What do you think I've been doing?,Ce crezi că am mai făcut?
Are you waiting for Tom?,Îl aștepți pe Tom?
Let's start after he comes home.,Să începem după ce el se întoarce acasă.
Let's not permit Tom to do that.,Să nu-i permitem lui Tom să facă asta.
I want to leave school.,Vreau să părăsesc școala.
She is loved by everyone.,El este iubit de toată lumea.
That's something I learned from reading history.,Asta e ceva ce am învățat citind istoria.
Tom looks young.,Tom pare tânăr.
You are responsible for what you have done.,Sunteți responsabil pentru ceea ce ați făcut.
Tom was preparing breakfast.,Tom pregătea micul-dejun.
I wanted to dance with you.,Vroiam să dansez cu tine.
"She wrote him a long letter, but he didn't read it.","I-a scris o scrisoare lungă, dar el nu a citit-o."
Where were you?,Unde-ai fost?
The dog bit my hand.,Câinele mi-a mușcat mâna.
Three people are still missing.,Trei persoane sunt încă dispărute.
I love summer rain.,Îmi place ploaia de vară.
It began to rain in the evening.,A început să plouă spre seară.
Where did you leave your suitcase?,Unde ți-ai lăsat valiza?
Her hat looked very funny.,Pălăria ei arăta tare caraghioasă.
There will be an energy crisis in the near future.,În viitorul apropiat va fi o criză energetică.
I must have made a mistake.,Se pare că am făcut o greşeală.
It's really bright.,Este cu adevărat senin.
We're having a tough time.,Trecem printr-o perioadă dificilă.
Straighten up.,Îndreaptă-te.
I pray that you will have the best of luck.,Mă rog ca tu să ai parte de tot norocul din lume.
I'm very poor.,Sunt foarte sărac.
He took part in the race.,El a luat parte la cursă.
She invited him in for a cup of coffee.,Ea l-a invitat înăuntru să bea o cafea.
Allied forces were attacking from the west.,Forțele aliate atacau din vest.
I'll ask around.,Voi întreba în jur.
You left your lights on.,Ai lăsat luminile aprinse.
I have never been inside a jail.,N-am fost niciodată într-o închisoare.
What's your favorite newspaper?,Care e ziarul tău preferat?
You never know what's going to happen.,Nu știi niciodată ce se va întâmpla.
Nobody can control us.,Nimeni nu ne poate controla.
I've got a few suggestions.,Am câteva sugestii.
I'd like to return a car.,Aş dori să returnez maşina.
There's a lot of potential.,Există mult potențial.
Their country is threatened by anarchy.,Țare lor este amenințată de anarhie.
What if you gave a speech and nobody came?,Ce s-ar întâmpla dacă ai susține un discurs și n-ar veni nimeni?
Tom lost the key to his dorm room.,Tom a pierdut cheia de la camera sa din cămin.
This soup tastes like fish.,Supa aceasta are gust de pește.
Are you seriously thinking about pursuing a career as a race car driver?,Te gândești serios să urmezi o carieră ca pilot de mașini de curse?
Everything must be accounted for.,Totul trebuie luat în considerare.
I will help you if possible.,Te voi ajuta dacă este posibil.
No one in his class can run faster than he does.,Nimeni din clasa lui nu aleargă mai repede decât o face el.
Who are you to talk to me like that?,Cine eşti tu ca să vorbeşti aşa cu mine?
"Was he, in fact, guilty of wrongdoing?","A fost el, de fapt, vinovat de nelegiuiri?"
What's that sound?,Ce e sunetul ăsta?
You must pay in advance.,Trebuie să plăteşti în avans.
Don't you like apples?,Nu-ți plac merele?
Tone of voice can indicate feelings.,Tonul vocii poate indica anumite sentimente.
I know all about the party.,Știu totul despre petrecere.
That was a close call.,A fost aproape de-o tragedie.
Tom doesn't live with Mary.,Tom nu locuiește cu Mary.
The law wasn't always enforced.,Legea nu a fost aplicată întotdeauna.
I advised him to take a rest.,L-am sfătuit să ia o pauză.
It's very hot today.,Azi e foarte cald.
He zipped up his jacket.,El și-a tras fermoarul la geacă.
Things are getting worse.,Treburile se înrăutățesc.
Never put off until tomorrow what you can do the day after tomorrow.,Nu lăsa pe mâine ce poţi face poimâine.
Some unexpected difficulties have arisen.,Niște dificultăți neașteptate au apărut.
Security was increased in the city.,Securitatea a fost îmbunătățită în oraș.
Take care of yourself.,Ai grijă de tine.
It seems that his sister is a good cook.,Se pare că sora lui este o bucătăreasă bună.
"It's not what you say, but what you do that counts.","Nu ceea ce zici, ci ceea ce faci contează."
It's already 2:30 and Tom and Mary aren't here yet.,Este deja 2:30 și Tom și Mary nu sunt încă aici.
You are strong-minded.,Ești hotărât.
West Berlin would remain free of Soviet control.,Berlinul de Vest ar rămâne liber de controlul sovietic.
This question is closely related to that one.,Această întrebare este legată strâns cu acea întrebare.
Is there a law here about jaywalking?,Există vreo lege despre traversarea printr-un loc nepermis?
There were children everywhere.,Erau copii peste tot.
Financial decisions are very important.,Deciziile financiare sunt foarte importante.
We used up the shampoo.,Am terminat șamponul.
Tom's conduct was beyond reproach.,Comportamentul lui Tom era ireproșabil.
I was trying to kill time.,Încercam să-mi omor timpul.
She was a pioneer in this field.,A fost deschizător de drumuri în acest domeniu.
I was present at school yesterday.,Am fost prezent ieri la școală.
I'm competitive.,Sunt competitiv.
He counts fast.,El numără repede.
Go straight ahead until you reach the church.,Mergi drept înainte până ajungi la biserică.
Tom was happy that his landlord lowered the rent.,Tom era fericit că proprietarul său a scăzut chiria.
He doesn't like oranges.,Lui nu-i plac portocalele.
I gave Tom a baseball cap for his birthday.,I-am dat lui Tom o șapcă de baseball de ziua lui.
Today is Monday.,Azi e luni.
What a cool picture!,Ce poză mişto!
Tom buttoned up his shirt and then put on his tie.,Tom și-a închis nasturii la cămașă și și-a pus cravata.
"Reportedly, there were no casualties.","Potrivit surselor, nu au existat victime."
The kids are running wild.,Copiii sunt de nestăpânit.
I'm nervous.,Sunt agitat.
None of them are present.,Niciunul dintre ei nu e prezent.
You can have it.,Poți să o iei.
Sunshine is beneficial to plants.,Soarele este benefic pentru plante.
You're unbiased.,Voi sunteți imparțiali.
"I was able to find the street, but I couldn't find her house.","Am reuşit să găsesc strada, dar nu am putut să-i găsesc casa."
We sometimes go fishing.,Câteodată mergem la pescuit.
Birds of a feather flock together.,Cine se aseamănă se adună.
I didn't know that I had to do that.,Nu am știut că trebuia să fac asta.
Some people have no shame.,Unii oameni nu au nicio rușine.
Experts say coffee prices are rising mainly because people are willing to pay more.,Experții spun că prețul cafelei crește în primul rând pentru că oamenii sunt dispuși să plătească mai mult.
"During hard times, people might not go on a trip, but they might be willing to pay extra for good coffee.",În timpurile grele poate că oamenii nu pleacă în vacanță și sunt mai dispuși să plătească în plus pentru o cafea bună.
"I used to be young and ambitious, just like you.","Am fost exact ca tine, tânăr și ambițios."
Has a change in ocean currents occurred?,S-a produs vreo schimbare în curenţii oceanici?
He went together with her.,A mers împreună cu ea.
He comes to see me once in a while.,El vine să mă vadă când și când.
No one could deny this.,Nimeni nu poate nega asta.
How many hats do you own?,Câte pălării deții?
How did Tom start the fire?,Cum a început Tom să dea foc?
Don't brake suddenly.,Nu frâna brusc.
I came earlier than usual.,Am venit mai devreme decât de obicei.
Tom won the prize.,Tom a câștigat premiul.
Tom was lenient.,Tom era indulgent.
I suspect that Tom and Mary aren't hungry.,Bănuiesc că lui Tom și lui Mary nu le este foame.
Tom probably was correct about that.,Tom probabil a avut dreptate despre asta.
That's what worries me.,Asta este ceea ce mă îngrijorează.
This is my house.,Asta e casa mea.
Where is the toilet?,Unde este toaleta?
I wonder what Tom was worried about.,Mă întreb ce-l îngrijorează pe Tom.
Slaves were the least expensive form of labor.,Sclavii au fost cea mai ieftină forță de muncă.
Do you know me?,Mă cunoști?
I didn't think this would happen.,Nu credeam că se va întâmpla asta.
Tom can't sleep without a pillow.,Tom nu poate dormi fără pernă.
I got a big pay raise.,Am primit o mărire substanțială de salariu.
Can you solve this problem?,Poţi rezolva această problemă?
I almost left my umbrella in the train.,A fost cât pe ce să-mi uit umbrela în tren.
His wealth has not made him happy.,Bogăţia lui nu l-a făcut fericit.
How do you account for your absence?,Cum explici absența ta?
What do I owe you?,Ce îți datorez?
Tom has a nice smile.,Tom are un zâmbet plăcut.
Speaking English isn't easy.,Nu este uşor să vorbeşti engleza.
To some extent I agree with you.,Într-o anumită măsură sunt de acord cu tine.
Tom might already be there.,Tom poate fi deja acolo.
Things got a bit hectic.,Lucrurile au devenit cam agitate.
Would you give me Tom's address?,Vrei să-mi dai adresa lui Tom?
He came down the hill on his bicycle.,El a coborât dealul pe bicicleta sa.
Tom abandoned his wife and joined the army.,Tom și-a abandonat nevasta și a intrat în armată.
Why is Tom being followed?,De ce este urmărit Tom?
I think I have tendonitis.,Cred că am tendinită.
Prisons are overcrowded.,Penitenciarele sunt supraaglomerate.
"Boys, be ambitious.","Copii, fiți ambițioși."
Did he sleep well?,A dormit bine?
Did you advise him to go to the police?,L-ai sfătuit să meargă la poliție?
Would you like to join our team?,Ai vrea să te alături echipei noastre?
A mere glance is not enough for us to tell one from the other.,Doar o privire nu e de-ajuns să putem să-i distingem unul de celălalt.
Tom looked.,Tom privea.
It's been three years since Tom died.,Au trecut trei ani de când a murit Tom.
How cute!,Ce simpatic!
I have a daughter who's married to a Frenchman.,Am o fiică care e măritată cu un francez.
It was an awesome accomplishment.,A fost o realizare minunată.
I liked this book.,Cartea aceasta mi-a plăcut.
He is a rude person.,El e o persoană nepoliticoasă.
Would you lend me a pencil?,Poți să-mi împrumuți un creion?
Speaking English is not easy.,Nu este uşor să vorbeşti engleza.
Oil will float on water.,Uleiul va pluti pe apă.
Don't stand in other people's way.,Nu sta în calea oamenilor.
I'll give you a day to think about it.,Vă voi da o zi să vă gândiţi la acest lucru.
I'm going to go to the movies.,Mă voi duce la film.
I should've read the instructions.,Ar fi trebuit să citesc instrucțiunile.
Smell is one of the five senses.,Mirosul e unul dintre cele cinci simțuri.
That's my idea.,Aia e ideea mea.
The meaning of this sentence is obscure.,Sensul acestei propoziții este vag.
Tom spent more than three years in prison.,Tom a stat mai mult de trei ani în închisoare.
Tom is the man Mary met the other day.,Tom este bărbatul pe care Mary l-a întâlnit de curând.
I know that Tom is stubborn.,Știu că Tom este încăpățânat.
The thief made off with the woman's handbag.,Hoţul a fugit cu geanta femeii.
I was fascinated by her beauty.,Am fost fascinat de frumuseţea ei.
The roar of their own cannons was extremely loud.,Bubuitul tunurilor lor era extrem de tare.
It's no longer necessary.,Nu mai este nevoie.
She looked him right in the eye.,Ea l-a privit direct în ochi.
It's Monday today and it will be Tuesday tomorrow.,Azi e luni şi mâine va fi marţi.
The winters were bitterly cold.,Iernile au fost foarte friguroase.
What time is it?,Cât e ceasul?
I met her late in the evening.,M-am întâlnit cu ea seara târziu.
He knows very well how to deceive people.,El știe foarte bine cum să amăgească oamenii.
I spent the weekend with my grandma.,Mi-am petrecut sfârșitul de săptămână cu bunica mea.
We are coming.,Noi venim.
Tom had Mary make him a sandwich.,Tom i-a cerut lui Mary să-i facă un sandviș.
Be watchful.,Fii vigilent!
We weren't at home yesterday.,Noi nu am fost acasă ieri.
Could you describe Tom's demeanor?,Ați putea descrie comportamentul lui Tom?
I know that nothing lasts forever.,Știu că nimic nu durează o veșnicie.
Stocks hit a new high.,Acțiunile au atins un nou maxim.
Tom is here to protect me.,Tom este aici să mă apere.
The old man was loved by everyone.,Bătrânul era iubit de toată lumea.
She wouldn't even speak to him.,Ea nici nu ar fi vorbit cu el.
Tom is very attentive.,Tom este foarte atent.
The committee is made up of ten members.,Comitetul este alcătuit din zece membri.
I run every day.,Alerg în fiecare zi.
Not that I have any objection.,Nu că aş avea vreo obiecţie.
They fell.,Ei au căzut.
One million people lost their lives in the war.,Un milion de oameni și-au pierdut viața în război.
We're ready to do that.,Suntem gata să facem asta.
I may give up soon and just take a nap.,Aş putea renunţa în curând şi să trag un pui de somn.
Where's the restroom?,Unde este toaleta?
Are you on Facebook?,Ești pe Facebook?
Everyone's someplace else.,Toți sunt în altă parte.
My arms went numb.,Mâinile mele erau amorțite.
"Tom isn't still sleeping, is he?","Tom nu mai doarme, așa-i?"
Do you have any idea what time Tom will come home?,Ai vreo idee la ce oră va ajunge Tom acasă?
Please don't cry.,"Te rog, nu plânge."
My father is too old to work.,Tatăl meu e prea în vârstă ca să muncească.
Nice to meet you.,Îmi pare bine să vă cunosc!
Tom can't figure out how Mary was able to plan a surprise party without him knowing about it.,Tom nu poate concepe cum a putut Mary să plănuiască o petrecere surpriză fără ca el să-și dea seama.
Mary didn't have a husband.,Mary nu a avut un soț.
We went to swim in the sea.,Ne-am dus să înotăm în mare.
Prices have dropped recently.,Prețurile au scăzut recent.
Many thousands on both sides had been wounded.,Mii de oameni fuseseră răniți în ambele tabere.
Tom has a poor memory.,Tom are o memorie slabă.
Tom should know that.,Tom ar trebui să știe asta.
He works at the bank.,El lucrează la bancă.
I wish to live in a big city.,Vreau să locuiesc într-un oraş mare.
"Wait five minutes, please.","Așteptați cinci minute, vă rog."
You're an angel.,Ești un înger!
Please come and help me.,"Vino, te rog, și ajută-mă."
He denied having stolen the money.,El a negat că ar fi furat banii.
I will accompany you.,Vă voi însoți.
We took it for granted that he had been punished.,Am considerat ca de la sine înţeles că fusese pedepsit.
"It's not easy being a parent, is it?","Nu e ușor să fii părinte, nu-i așa?"
"Hey, I may have no money, but I still have my pride.","Hei, aș putea să nu am niciun ban, dar încă mai am mândrie."
Would you like us to bring anything to the dinner?,Ai vrea ca noi să aducem ceva la cină?
The boy ran away without looking back.,Băiatul fugi fără să privească înapoi.
The doctor told me to give up smoking.,Doctorul mi-a spus să renunţ la fumat.
She kept crying all night long.,A continuat să plângă cât e noaptea de lungă.
He is now on his own.,El e acum de unul singur.
I think it's time for me to give up on this relationship.,Cred că e timpul pentru mine să renunț la această relație.
"I was leaving home, when it started to rain.","Plecam de acasă, când a început să plouă."
Where can I check my baggage?,Unde îmi pot verifica bagajul?
Tom and Mary are about the same age.,Tom și Mary au cam aceeași vârstă.
It will rain tomorrow.,Mâine va ploua.
"Tom sat by the window, reading a book.",Tom stătea la fereastră citind o carte.
I hope to go to Canada next year.,Sper să merg în Canada anul viitor.
Tom has a pain in the shoulder.,Tom are o durere la umăr.
He made a will last year.,Anul trecut şi-a făcut un testament.
I can't find my watch.,Nu-mi pot găsi ceasul.
I'm meeting a friend after school.,Mă întâlnesc cu un prieten după școală.
Tom doesn't like Irish coffee.,Lui Tom nu-i place cafeaua irlandeză.
I ate caviar.,Am mâncat caviar.
None of them is alive.,Niciunul dintre ei nu este viu.
"If I were to tell you all I know, you would be amazed.","De-ar fi să-ţi spun tot ce știu, te-ai minuna."
"Don't skip classes, okay?","Nu chiuli, bine?"
Would you like to see a live performance of a play with me Saturday?,Ți-ar plăcea să vezi cu mine sâmbătă o interpretare live a unei piese?
Do I look like a farmer?,Arăt eu a fermier?
I have to sell my house.,Eu trebuie să-mi vând casa.
Tom was our hero.,Tom era eroul nostru.
There is no telling what time he will come.,Nu se știe la ce oră va veni el.
I'm not busy right now.,Nu sunt ocupat chiar acum.
Tom should be here soon.,Tom ar trebui să fie aici în curând.
There's nothing that can be done.,Nu se poate face nimic.
He's right behind me.,El este tocmai în spatele meu.
I am married and have two children.,Sunt căsătorit și am doi copii.
I thought she was pretty.,Credeam că era drăguţă.
None of the old trees survived the fire.,Niciunul dintre copacii bătrâni nu a supravieţuit focului.
Tell me what to do here.,Spune-mi ce să fac aici.
He failed to catch the 8:30 train.,A pierdut trenul de 8:30.
It's very stuffy in here.,Este un aer foarte închis aici înăuntru.
The wind calmed down.,Vântul s-a calmat.
I don't know who to turn to.,Nu știu către cine să mă îndrept.
Your method is better.,Metoda ta este mai bună.
We should call the doctor.,Ar trebui să chemăm doctorul.
I'm as hungry as a bear.,Mi-e o foame de urs.
I'm pretty sure I did the right thing.,Sunt destul de sigur că am făcut lucrul potrivit.
What is your greatest source of inspiration?,Care e cea mai importantă sursă de inspirație a ta?
Cow's milk is tastier than soy milk.,Laptele de vacă este mai gustos decât laptele din soia.
You are wavering.,Tremuri.
We thought it was perfect.,Am crezut că e perfect.
I want to charter a bus.,Vreau să închiriez un autobuz.
One difficulty after another arose.,O dificultate după o alta a apărut.
"The next morning, the snowman had completely melted.","Dimineața următoare, omul de zăpadă se topise complet."
Tom fell backwards.,Tom a căzut pe spate.
I'm really glad you're here.,Mă bucur foarte mult că ești aici.
You must keep your promise.,Trebuie să-ți ții promisiunea.
He has a tendency to be pessimistic.,Are tendinţa de a fi pesimist.
We need a new secretary.,Avem nevoie de o secretară nouă.
There aren't any signs that Tom has been here.,Nu e niciun semn că Tom a fost aici.
Tom is an outstanding actor.,Tom este un actor remarcabil.
Look after yourself.,Ai grijă de tine.
I feel like crying.,Aș plânge.
Don't do anything strenuous tonight.,Nu face nimic obositor în seara asta.
Tom told me his father was pretty good at playing the guitar.,Tom mi-a zis că tatăl lui cântă binișor la chitară.
He broke into a house.,El a spart o casă.
I am reluctant to help him.,Sunt reticent în a-l ajuta.
Are you allergic to any medicine?,Ești alergic la vreun medicament?
War began five years later.,Războiul a început cinci ani mai târziu.
Tom can speak three foreign languages.,Tom poate vorbi trei limbi străine.
Would you like anything else?,Ai mai dori altceva?
People traveling abroad always have to get used to new food.,Persoanele care călătoresc în strâinătate trebuie întotdeauna să se obişnuiască cu mâncăruri noi.
He lost his balance and fell off his bicycle.,Şi-a pierdut echilibrul şi a căzut de pe bicicleta lui.
Tell Tom to quit singing.,Spune-i lui Tom să renunțe la cântat.
I wish I was young again.,Aș vrea să fiu tânăr din nou.
He told me not to swim there.,El mi-a spus să nu înot acolo.
That's what they have been telling me.,Asta-i ceea ce mi-au spus.
Let me know if you come across the magazine.,Anunță-mă dacă găsești revista.
Take care.,Ai grijă de tine.
He has some money in the bank.,El are niște bani la bancă.
I borrowed Tom's bicycle.,Am împrumutat bicicleta lui Tom.
Traveling by boat takes longer than going by car.,A călători cu vaporul durează mai mult decât a călători cu maşina.
It would take forever for me to explain everything.,Ar dura o veșnicie să explic tot.
Please go to the bank.,"Te rog, du-te la bancă."
What's your age?,Câți ani ai?
You seemed to be exhausted.,Tu pari a fi terminat.
We left no stone unturned.,Nu am lăsat nicio piatră neîntoarsă.
Everyone knows.,Toți știu.
The program starts at nine o'clock.,Programul începe la ora nouă.
Snow covered the bus.,Zăpada acoperea autobuzul.
Tom's father disowned him.,Tatăl lui Tom l-a renegat.
I think you shouldn't invite Tom to your party.,Cred că nu ar trebui să îl inviți pe Tom la petrecerea ta.
I am very hungry.,Sunt foarte flămând.
I don't like to talk about myself.,Nu vreau să vorbesc despre mine.
They know how to fish.,Ei știu cum să pescuiască.
"Last year, the company was sold to private investors.",Anul trecut compania a fost vândută investitorilor privați.
"If you don't eat, you die.","Dacă nu mănânci, mori."
Today is Friday.,Azi e vineri.
Hurry up.,Grăbeşte-te!
I can't say I'm happy about retirement.,Nu pot să spun că mă bucur de retragere.
I have no plans whatsoever.,Nu am nici un fel de planuri.
He measured the length of the bed.,A măsurat lungimea patului.
"Our planet, Earth, is always in motion.","Planeta noastră, Pământul, se află mereu în mișcare."
Tom accepted the nomination for class president.,Tom a acceptat candidatura pentru președinția clasei.
Who buried the gold bars here?,Cine a îngropat lingourile de aur aici?
They were wrong.,Ei au greșit.
I'm sorry to hear that you got a divorce.,Îmi pare rău să aud că tu ai divorțat.
We looked for it high and low.,L-am căutat prin toate colțurile.
I'm always under pressure.,Sunt mereu sub presiune.
I don't mind the cold.,Nu mă supără frigul.
I think that it's going to rain soon.,Cred că va ploua în curând.
Tom knows quite a lot about Mary.,Tom știe destul de multe despre Mary.
I'm a doctor.,Sunt medic.
I have to study tomorrow.,Trebuie să studiez mâine.
Why don't you come visit us?,De ce nu veniți să ne vizitați?
She loves him.,Ea îl iubește.
Would you please turn off the TV?,"Ai putea, te rog, să închizi televizorul?"
Tom is at the roulette table.,Tom este la masa de ruletă.
One for all and all for one.,Toți pentru unul și unul pentru toți.
Who knows that?,Cine știe asta?
Tom cleared the table.,Tom a debarasat masa.
Everyone's saying it.,Toți o spun.
He put on the red jacket.,S-a îmbrăcat cu jacheta roşie.
"She said she was nurse, which was a lie.","A spus că e asistentă medicală, ceea ce era o minciună."
How old are you?,Câți ani ai?
I think what you're doing is stupid.,Cred că ceea ce faci e stupid.
I'll do that regardless of the consequences.,"O să fac asta, indiferent de consecințe."
Tom is a strong young man.,Tom e un tânăr puternic.
"He had heard that war had started, but it didn't sink in for a long time until his father was drafted into the army.","Auzise că a început războiul, dar nu a conştientizat asta timp îndelungat până când tatăl său a fost înrolat."
I don't know how things were a hundred or fifty years ago.,Nu știu cum stăteau lucrurile o sută sau cincizeci de ani în urmă.
You're unbiased.,Tu ești imparțial.
Get out.,Pleacă de aici!
He was just behind me.,El era tocmai în spatele meu.
Tom noticed a change in Mary.,Tom a observat o schimbare la Mary.
Tom says that won't happen.,Tom spune că asta nu se va întâmpla.
I'm undressing.,Mă dezbrac.
That's the law.,Asta e legea.
This is a very complex problem.,Aceasta este o problemă foarte complexă.
Let's give it a try.,Hai să facem o încercare.
Does that sound familiar?,Asta îți sună cunoscut?
Is there a milkman?,Este vreun lăptar?
The cost of the book is five dollars.,Prețul cărții este de cinci dolari.
Do you know who invented the microscope?,Știi cine a inventat microscopul?
The problem remains to be solved.,Problema rămâne de rezolvat.
Who hit the home run?,Cine a punctat?
Stop gambling.,Nu mai juca.
Tom is going to love this place.,Lui Tom îi va place acest loc.
He promised not to tell.,A promis să nu spună.
Tom doesn't know whether Mary is telling the truth or not.,Tom nu știe dacă Mary spune adevărul sau nu.
How do you know that Tom isn't a native speaker?,Cum îți dai seama că Tom nu e un vorbitor nativ?
Thank you for the information.,Vă mulțumesc pentru informații.
These shoes fit my feet.,Acești pantofi mi se potrivesc în picioare.
The silence was unbearable.,Tăcerea era de nesuportat.
We agreed that something must be done.,Am convenit că ceva trebuie făcut.
You are late.,Ai întârziat.
There's no other explanation.,Nu este altă explicație.
Come and help us.,Vino și ajută-ne.
Tom abandoned the hope of becoming an actor.,Tom a abandonat speranța de a deveni actor.
I haven't yet been paid.,Nu am fost plătit încă.
He caught me by the hand.,El m-a prins de mână.
My sister is younger than me.,Sora mea este mai tânără ca mine.
Who is behind the plot?,Cine e în spatele intrigii?
We haven't seen Tom.,Noi nu l-am văzut pe Tom.
I have no self-esteem.,Nu am nici o stimă de sine.
She dyed her hair blonde.,Ea și-a vopsit părul blond.
I take a taxi to the train station once or twice a week.,Iau un taxi către gară odată sau de două ori pe săptămână.
There's no way to foresee the consequences.,Nu există nici o modalitate de a anticipa consecințele.
We need rest.,Avem nevoie de odihnă.
He is my old friend.,El este vechiul meu prieten.
Does your head hurt often?,Te doare des capul?
Let's have a look.,Hai să ne uităm.
He sometimes loses hope.,El câteodată își pierde speranța.
I go there every year.,Mă duc acolo în fiecare an.
That's a table.,Aceea este o masă.
Show me what you bought.,Arată-mi ce ai cumpărat.
I bet my bottom dollar he is innocent.,Pariez pe ultimii mei bani că el e inocent.
You make me happy.,Mă faci fericit.
Chinese officials say economic growth has dropped to a three-year low because of the world economy.,Oficialii chinezi spun că creșterea economică a scăzut la minimul ultimilor trei ani din cauza economiei globale.
I can't stand this cold anymore.,Nu mai suport frigul ăsta.
The plants need to be watered.,Plantele trebuie să fie udate.
Ignorant people are usually very arrogant.,Oamenii ignoranți sunt deobicei foarte aroganți.
I wonder why we have ear lobes.,Mă minunez de ce noi avem lobi ai urechii.
Is that a new tie?,Asta e o cravată nouă?
This is only a temporary setback.,Acesta este doar un obstacol temporar.
"Even if I wanted to, I could never explain what happened in there.","Chiar dacă aș vrea, nu voi putea niciodată explica ce s-a întâmplat acolo."
My headache has gone away.,Mi-a trecut durerea de cap.
He can also speak Russian.,El poate vorbi și rusa.
I can run fast enough to catch up with him.,Pot alerga destul de repede pentru a-l ajunge din urma.
Even his servants despised him.,Chiar și servitorii îl tratau cu dispreț.
I'll be back in a few minutes.,Revin în câteva minute.
Why don't you come over and eat with us this evening?,De ce nu vii să mănânci cu noi în seara asta?
Tom doesn't expect anything from Mary.,Tom nu se așteaptă la nimic de la Mary.
Why would they do this?,De ce să facă asta?
Prices are competitive.,Prețurile sunt competitive.
We are never as happy or as unhappy as we imagine.,Nu suntem niciodată atât de fericiţi sau de nefericiţi pe cât credem.
I'm not in the mood.,N-am chef.
Tom doesn't like to hang out with people who smoke.,Lui Tom nu-i place să-și petreacă timpul cu oamenii care fumează.
I tried to warn you.,Am încercat să te avertizez.
